,8,16,32,64,128
100M,771.6963979117648,943.926570655172,922.7872921714288,615.7187099166667,416.89208223529414
600M,1191.205442203704,1955.1420796705888,1293.872446421053,714.078210035714,423.6783375555556
1B,1566.3840071038958,2504.681674657658,1483.7910309558831,913.6599342439024,529.4782502173915
