,8,16,32,64,128
100M,250.62574999999998,229.77648148148154,218.54078125,201.4538888888889,168.64285714285714
600M,339.2527631578947,249.49495454545456,233.2467142857143,213.540625,192.1589285714286
1B,368.1447928994083,0.0,0.0,0.0,0.0
